id,regional_name,name,description,interesting_facts,country
42,Australian,Cabernet Syrah (Australie),"By far, the most popular grape in Australia is Shiraz. With its lush, dark fruit, earth, and spice flavors that it is known for, it is very popular throughout the world.

When it is combined with Cabernet Sauvignon to add some muscle and complexity to the wine, it can especially make some of the best wines in the world.

The popularity of blending Shiraz with a little bit of Cabernet Sauvignon in Australia is largely thanks to the Penfold's wine “Grange”. It is one of the most revered (and expensive) wines in the world and they have been using this blend since it began in the 1950s.

The Australian Shiraz is known for being really rich and packed with dark fruit flavors, which are complemented by flavors of chocolate, spice, leather, and earth. These luscious wines are made even stronger and more complex ","Les raisins Shiraz et Syrah sont exactement les mêmes raisins, mais portent des noms différents.
Le Penfolds Grange fut produit pour la première fois en 1951.
Unlike most of the world's most expensive wines, “Grange” is made from a collection of different vineyards and is slightly different every single year.
Le raisin Petite Syrah est différent du Syrah.
En 1831, James Busby a introduit le Syrah en Australie.",au
237,Spanish,Verdejo (Espagne),"Thought to have originated in North Africa, Verdejo has found a hospitable climate and soil in central Spain. Full-bodied and aromatic, this wine is often compared to Sauvignon Blanc.

One of Spain's most popular cultivated white wines, Verdejo should hold a place in any wine enthusiast's collection. In order to qualify as Verdejo the grape in question must account for at least 50% of the juice in the bottle.

The grapes are harvested at night to control the temperature and then fermented in stainless steel. This interesting combination of winemaking techniques result in a well-rounded and complex juice that is loved the world over.

Expect bright and fresh acidity with prevailing lemon, green apple, kiwi and pear. You will also enjoy fennel, mushroom, and a hint of grass. The wine is dry and should  be served chilled.

This wine pairs really well with poached proteins and shellfish. The acidity cuts through and compliments asparagus, tomatoes, olives, and greens with vinaigrette dressing. The wine isn't known for longevity and should be consumed within 3-4 years of bottling.","Verdejo is almost always blended, and the grapes are picked at night.
No one knows for sure from where the grapes originated, but most experts believe that Verdejo migrated from Northern Africa.",es
48,Central Italy,Vin blanc d'Italie Centrale,"Les vins blancs produits dans le centre de l'Italie ne sont ni très tape-à-l’œil ni célèbres, mais ils sont délicieux à coup sûr. Cette région est connu pour ses vins blancs limpides, légers et rafraîchissants.

Vous ne trouverez pas de cépages très connus dans cette région, mais vous rencontrerez quelques pépites.

Les vins blancs italiens peuvent être très frustrants et déroutants. Les cépages de ces vins ne nous sont pas très familiers. Cependant, certains de ces cépages autochtones peuvent faire des vins élégants, rafraîchissants et agréables.

Les grands vins blancs du centre de l'Italie seront surtout simples et légers. Ils s'expriment surtout sur des notes de fruits à noyau, de fleurs blanches et souvent d'amande.

Portez votre attention sur les vins sous-estimés de Verdicchio di Matelica ou Verdicchio dei Castelli di Jesi.","Le Trebbiano, un cépage courant dans le centre de l'Italie, porte aussi le nom d'Ugni Blanc.
Dans le Nord de l'Italie, le cépage Verdicchio est aussi surnommé Trebbiano di Soave, qui n'a rien à voir avec le Trebbiano.
Des pratiques de viticulture et de vinification peu qualitatives ont rendu les vins blancs d'Italie du Sud très impopulaires pendant des années.
L'Albana di Romagna en Emilie-Romagne fut le premier vin blanc italien doté de l'appellation DOCG.
Bien qu'il soit courant de voir des vins d'Orvieto dans les restaurants italiens, ils sont souvent décevants car plats.",it
22,Italian,Brunello (Italie),"From Tuscany in central Italy, Brunello enjoys a distinction as one of Italy's most favored wines.

Brunello ages well and is great for collecting. The wine is bold, rich, and full-bodied. Red and black fruit assertively grace the nose and palate.

Brunello is made totally from Sangiovese grapes that take on the characteristics of the soil, vegetation and climate of the region in which it is grown.

Layered aromas and velvety tannins complement medium-high acidity. Consider decanting this wine to enjoy its full complexity.

This wine pairs well with big protein ladened dishes. You may also enjoy it with salted cheeses and cured meats. Try to avoid pairing with dishes where the wine would overwhelm flavors, such as leafy greens and subtly seasoned meats.","L'appellation Brunello compte moins de 10 vignerons dans toute l'Italie. Il y a pourtant des vingtaines de domaines sur une aire géographique très restreinte.
La loi italienne interdit toute intervention visant à modifier la température au cours de la croissance du Brunello.
Le Brunello est fait à partir d'un cépage particulier, le Sangiovese, aussi utilisé pour faire le Chianti.",it
122,Italian,Montepulciano d'Abruzzo (Italie),"The grape Montepulciano can be grown in most of Italy, but the biggest region for it is Abruzzo. The region produces wine in two main styles—one soft and approachable, the other rich and more tannic.

Montepulciano d'Abruzzo is a good region for good value, but often the wines are not quite as great as they could be.

There is really only one fine wine in Abruzzo and it is Montepulciano d'Abruzzo. At its best, the grape Montepulciano can produce wines that are dry, rich, powerful, and dark in color. However, often the quality is a little low and it can be uninteresting.

This wine can be pretty similar to Chianti in style. This is not surprising given that it can have up to 15% Sangiovese in it. Blending with Sangiovese adds body and complexity with flavor ranging from fruity to Savory. ines.

There is often an aroma common to wines from Montepulciano d'Abruzzo that can be described as “animal”. It can be very seductive in small amounts, but can be pretty terrible if strong.","Montepulciano d'Abruzzo can contain up to 15% Sangiovese.
Le Vino di Nobile Montepulciano est fabriqué dans la ville de Montepulciano, mais pas à partir du raisin Montepulciano !
In 2003, Montepulciano d'Abruzzo Colline Teramane was promoted to DOCG status.
Les Abruzzes sont une région très montagneuse.",it
176,Spanish,Vin rouge d'Espagne,"The savory red wines of Spain are brooding and complex. They are typically a little lighter than a California Cabernet, but richer and fuller than a Pinot Noir.

The most commonly used red grapes in Spain are the lovely Tempranillo grape and the rich Garnacha, but Cabernet Sauvignon is starting to get popular as well.

The main grape in Spain is Tempranillo, which is followed closely by Garnacha. In the past, Spanish reds were know to be worthy of aging for decades and were very expensive because of this. Now that technology is more available they are making more affordable, fruitier wines.

The most famous red wine in Spain is Rioja and it is made from the Tempranillo grape. Rioja is usually very complex and savory. Another famous wine is Priorat which is made largely from Garnacha and lush with dark fruit, spice, and vanilla.

Sometimes Rioja and Priorat wines can be very pricey due to their long aging, but often those same wineries make much more affordable wines that are aged for less time, but are still delicious!","Spain has the most land dedicated to vineyards of any country in the world!
Spain is known for using American Oak barrels instead of French Oak barrels, because the wood was readily available to them after they started colonizing the new world.
Spanish vineyards are typically planted with the vineyard rows very far apart.
The three categories for how long a Spanish red wine is aged before bottling are the following: Crianza (2 years), Riserva (3 years), and Gran Riserva (5 years).
The two most commonly planted red wine grapes in Spain are Tempranillo and Garnacha.",es
14,Chilean,Assemblages Bordeaux (Chili),"Chile is producing world class Bordeaux blends that can compete with the very best in the world.

These Merlot and Cabernet Sauvignon based wines are full of structure, tannin and body, just like their counterparts in Bordeaux and Napa. However, winemakers here tend to focus more on creativity and innovation in producing their blends.

The additions of Carménère, Petite Verdot, Malbec, and Cabernet Franc allow for a wide range of styles within this category. Due to the lack of strict regulations there is a blend to suit most any preference!

These bold red wines have even begun winning blind tasting competitions against established international regions.

Although Chile's wine heritage is closely linked to that of Bordeaux, they are not hindered by the same regulations. Here, winemakers are allowed freedom to produce world class wines without stringent guidelines.

As with other wines from Chile, there are outstanding values to be had in this category, largely due to lower real estate prices and favorable exchange rates. While Bordeaux blends don't generally come cheap, Chile is an obvious place to search for premium quality wines at reasonable price points.","Pour une région productrice de vin du Nouveau Monde, l'histoire du Chili est relativement longue qui remonte au 16ème siècle.
Les cépages bordelais ont été implantés au Chili au milieu du XIXe siècle.
Les cépages les plus couramment cultivés au Chili sont toutes les variétés de Bordeaux, y compris Cabernet Sauvignon, Merlot et Carménère.
En 2004, l'assemblage de Bordeaux Chilien de la région d'Aconcagua à fini devant un Château Lafite et un Château Margaux lors d'une dégustation à l'aveugle à Berlin.",cl
57,Chilean,Chardonnay (Chili),"Chardonnay is the third most widely planted grape in the world, and its cultivation is viewed as being the “rite of passage” for any emerging wine growing region.

Chilean Chardonnay thrives in the cooler areas, and tends to have moderate acidity, tropical fruit notes and a striking minerality.

Chardonnay has its origins in the famous Burgundy region of France. It is an extremely versatile grape and grows in abundance all over the world.

Chilean Chardonnay is a cool climate specialist. The regions of Limari, San Antonio and Casablanca have become well known for their fabulous (and very reasonably priced) Chardonnays.

A Chilean Chardonnay won't taste like Napa Chardonnay. It is more similar to a Sauvignon Blanc but with more tropical fruit and apple-pear flavors. Given the heavy minerality and noticeable acidity, Chilean Chardonnay should pair nicely with dense fish dishes, white meats and possibly some scallops or lobster.","Le chardonnay est le raisin blanc le plus largement planté au Chili.
When people say that Chardonnay's are ‘buttery' it means that they have been aged for a while in oak.
Les faibles précipitations, les hauts rayons du soleil et les faibles températures du soir font du Chili l'un des meilleurs pays pour cultiver du Chardonnay.
Les cépages les plus courants du Chili sont le Cabernet Sauvignon, le Merlot et e Carménère.
La production chilienne a été influencée en grande partie par la région bordelaise en France, même si elle a ses racines en Espagne.
Les fluctuations de température au Chili en raison de la proximité des Andes, permettent aux raisins de conserver leur acidité lorsqu'ils poussent sur la vigne.",cl
264,Bordeaux Left Bank,Pauillac,"Bordeaux Pauillac wines are rich and concentrated, full-bodied reds with grippy tannins, and characteristic notes of cassis, cedar and cigar box spice.

The best examples come from blends with a base of high-quality Cabernet Sauvignon and are often considered the quintessential example of a Bordeaux wine.

Pauillac, in Bordeaux's Left Bank Médoc region, boasts well-draining gravel soils, which in turn translates to higher quality wines; and those from Pauillac age extremely well.

Three of the five first-growths from the 1855 classification of the Médoc are situated in Pauillac: Lafite, Latour, and Mouton-Rothschild.","Though Pauillac boasts some of Bordeaux's most acclaimed estates, the town itself is very small.
More than half of the 18 classified 'Fifth-Growths' are in Pauillac, including the famous Château Lynch-Bages.
Château Mouton-Rothschild, which encompases 90 hectares (222 acres) in Pauillac was elevated from a 'Second-Growth' to a 'First-Growth in 1973—the only time in the history of the 1855 Classification that a winery's classified position was re-evaluated.",fr
94,Languedoc-Roussillon,Vin rouge du Languedoc-Roussillon,"Le vin de la région Languedoc-Roussillon est produite dans le sud de la France, allant de la côte méditerranéenne à la Provence. Cabernet, Merlot, Mourvèdre, Grenache et Syrah figurent parmi les raisins rouges les plus importants de la région.

La plupart des producteurs de vin dans cette région produisent des mélanges et non pas des vins de monocépage. Il y a quelques valeurs exceptionnelles se trouvent dans les vins de cette région. Un grand nombre de vins rouges de cette région peuvent être acquis pour moins de 15 € !

 Le Languedoc-Roussillon est la région qui produit le plus de vin au monde, on y élabore plus d'un tiers de la production de vin français.

Bien que la région fût connue pour produire du vin de table peu cher par le passé, de nombreux vignobles et coopératives remplacent les vignes de moins bonne qualité au profit de variétés de vin de meilleure qualité et de méthodes de production. La qualité a été constamment améliorée depuis les années 1970, lorsque la région a été surtout connu pour le barattage de vin au pichet pas cher.

Les deux régions du Languedoc-Roussillon produisent différents styles de vin rouge, bien qu'ils fassent partie de la même famille. Le Languedoc est connu ses vins fruités et corsés qui peuvent être assez complexe parfois. Le Roussillon produit des mélanges plus mûres et plus intenses, ainsi que des vins de vendanges tardives et des vins enrichis en alcool.","Aussi récemment qu'en 2001, la région a produit plus de vin que l'ensemble des États-Unis.
Pendant les guerres mondiales, l'armée française a reçu ses rations quotidiennes de vin de cette région.
La région est l'une des plus anciennes régions viticoles en France, elle remonterait au moins à 6000 ans avant JC.
Au cours du 14ème siècle, les vins de la région ont été prescrits par les médecins et les hôpitaux pour aider les divers maux.",fr
5,Italian,Barbaresco (Italie),"Dans la région du Piémont dans le Nord de l'Italie, le cépage Nebbiolo est de loin le meilleur.  Il s'exprime dans deux vins : le Barolo, intense et charpenté, et le Barbaresco, élégant et surprenant.

Le Barbaresco est a souvent une robe limpide, et des notes de petites baies acidulées, de terre sèche, d'épices et de pot-pourri.

Le Nebbiolo produit des vins puissants. Le Barbaresco est son expression la plus féminine et élégante, mais il peut être aussi enthousiasmant et exaltant qu'un Barolo.

Ces vins ont des taux d'acidité et de tannicité hauts, ils peuvent donc être bus au moins deux ans après mise en bouteille. Après quelques années de vieillissement en bouteille, ils révèlent des arômes stupéfiants de cranberry et de cérise acidulées, de cardamome, pot-pourri et de terre sèche. Ils sont généralement d'un rouge orangé plus limpide, mais leurs saveurs ne perdent pas de leur expression.

Si vous souhaitiez trouver un Pinot Noir avec l'ardeur d'un Carbernet, ce vin est fait pour vous !","Barbaresco est situé dans la région Piémont au nord de l'Italie. 
Le Barbaresco doit être âgé d'au moins d'un an en barrique et pas moins d'un an en bouteille avant qu'il soit mis sur le marché.
En raison de sa position à l'est de Barolo, les raisins mûrissent en Barbaresco un peu plus tôt qu'en Barolo.
Barbaresco est le village du célébrissime Gaja qui a commencé à faire ce vin en 1859.
En raison de leur tanin et de leur acidité, les vins Barbaresco peuvent vieillir pendant pas mal d'années, mais pas aussi longtemps que du Barolo.",it
171,Spanish,Priorat (Espagne),"The traditional grape grown in this region is Garnacha (or Grenache). Small plantings of Carignan, Cabernet Sauvignon, Merlot and Syrah are common as well.

Wines crafted from Garnacha are often described as intense, rich and powerful. In the Priorat, the wines are especially so, due in part to unique black volcanic soils and long, hot summers.

As with much of the Old World, grapes have been cultivated in the Catalonian Priorat for a long time, since the 12th century, under the care of the Carthusian monks.

The region's vineyards were decimated by phylloxera at the turn of the century, and they were not replanted until the 1950s.

Thankfully, in the late 1980s a group of energetic, young winemakers revitalized this remote and rugged DOQ (Denominació d'Origen Qualificada). Today, Priorat is thought to be one of the top wine-producing regions in Spain, and the wines are highly sought after and can be expensive.

Garnacha wines are typically quite dark in color, with a high alcohol, and blackberry and fig notes. Spicy accents along with mineral, espresso, orange peel and savory notes are common as well. Pair these expressive, full-bodied reds with grilled lamb or beef, wild boar, sausages or hearty winter stews.","In France, Garnacha is called Grenache.
There are only two wine growing regions in Spain with the prestigious DOCa designation, the highest qualification level—they are the Rioja and Priorat.
The name Priorat hails from the word priory, a nod to the dedicated monks who established the region centuries ago.
Grenache is one of the most widely planted grape varieties in the world and can trace its origins to Catalonia. Well-suited to hot, dry climates, it's right at home in the Priorat.
Priorat has a unique soil type known as known as llicorella. A combination of volcanic slate and quartz that can seriously retain heat, think of asphalt on a hot summer day.",es
