finess_et;finess_ej;raison_sociale;raison_sociale_entite_juridique;adresse_administrative_1;adresse_administrative_2;adresse_complete;complement_adresse;num_dept;dept;cp_ville;num_tel;num_fax;num_cat;categorie_de_l_etablissement;num_type;type_etablissement;num_siret;code_ape;code_tarif;lib_tarification;date_ouverture;lat;lng;wgs84
910004050;910004043;LABM ANABIO;;;;28 R ALBERT THOMAS;;91;ESSONNE;91300 MASSY;01 69 30 15 00;01 60 13 36 00;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;32853760000012;;1;Etablissement Tarif Libre;1973-01-09;48.7362081;2.2613249;48.7362081,2.2613249
780021168;780021119;LBM MESNIL;LBM LE MESNIL SAINT DENIS;;;1 R BERRURIER;;78;YVELINES;78320 LE MESNIL ST DENIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-04-18;48.7425892;1.9640286;48.7425892,1.9640286
780021358;950016089;LBM ELANCOURT;;;;3 AV DU MONT CASSEL;;78;YVELINES;78990 ELANCOURT;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;43886641000162;;1;Etablissement Tarif Libre;2011-09-21;48.763445;1.955652;48.763445,1.955652
770018968;770018935;LBM LAB 77 OZOIR LA FERRIERE;;;;38 AV DU GENERAL LECLERC;;77;SEINE-ET-MARNE;77330 OZOIR LA FERRIERE;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;52330784100032;;1;Etablissement Tarif Libre;2011-02-05;48.7682389;2.673591;48.7682389,2.673591
940004476;940004450;LABM TEBOUL RENE;;;;11 R MAURICE BERTEAUX;;94;VAL DE MARNE;94370 SUCY EN BRIE;01 45 90 24 38;01 45 90 99 27;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;33874762900016;8690B;99;Indéterminé;1997-01-01;48.773172;2.5178525;48.773172,2.5178525
920006574;920006566;LABM DU PLESSIS;;LAMB MOITTIE- COUDERT;;1 AV CHARLES DE GAULLE;;92;HAUTS-DE-SEINE;92350 LE PLESSIS ROBINSON;01 46 30 38 37;;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;64204943100025;;99;Indéterminé;1993-01-03;48.778664;2.260495;48.778664,2.260495
940004211;940004203;LABM GELLER;;;CTRE CIAL PINCE VENT;85 RTE DE PROVINS;;94;VAL DE MARNE;94490 ORMESSON SUR MARNE;01 45 94 99 66;;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;51156442900013;8690B;99;Indéterminé;1991-12-06;48.7936894;2.55454;48.7936894,2.55454
770018976;940018898;LBM BIO PATH PONTAULT-COMBAULT;LABORATOIRE DE BIOLOGIE MED BIO PATH SITE PONTAULT-COMBAULT;;;5 R DE L'ORME AU CHARRON;;77;SEINE-ET-MARNE;77340 PONTAULT COMBAULT;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;8690B;99;Indéterminé;2011-07-07;48.8001564;2.6098516;48.8001564,2.6098516
780020863;780020855;LBM BIOSYNERGIE;;;;16  ESPLANADE GRAND SIECLE;;78;YVELINES;78000 VERSAILLES;01 39 50 88 68;01 39 50 80 73;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2010-12-31;48.8040047;2.1568419;48.8040047,2.1568419
940018229;940018039;LBM LCV-CENTRE VILLE GAGNEE;LABORATOIRE LCV DE CENTRE VILLE;;;70 R GAGNEE;;94;VAL DE MARNE;94400 VITRY SUR SEINE;01 47 26 19 30;01 47 26 80 70;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;39397563600043;;99;Indéterminé;2011-01-06;48.8040503;2.3850305;48.8040503,2.3850305
940003817;940003791;LABM BASTARD;;;;87 AV DE FONTAINEBLEAU;;94;VAL DE MARNE;94270 LE KREMLIN BICETRE;01 45 15 22 33;01 46 77 11 99;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;34368359500015;;99;Indéterminé;2068-07-10;48.8102233;2.3624706;48.8102233,2.3624706
940019078;940018898;LBM BIO PATH LE PLESSIS TREVISE;LABORATOIRE BIOLOGIE MED BIO PATH SITE DU PLESSIS TREVISE;;;3 ALL DES AMBALLAIS;;94;VAL DE MARNE;94420 LE PLESSIS TREVISE;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;8690B;99;Indéterminé;2011-07-07;48.8102311;2.5716755;48.8102311,2.5716755
920005527;750018129;LABM EXABIO;;;;23 R C. DALSEME;;92;HAUTS-DE-SEINE;92190 MEUDON;01 45 34 12 49;01 45 34 22 81;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;33847136000085;8690B;99;Indéterminé;1974-11-15;48.8131012;2.2402957;48.8131012,2.2402957
770018471;770018406;LBM ARMAINVILLIERS COULOMMIERS;LABORATOIRE DE BIOLOGIE MEDICALE  MR DIAS DAS ALMAS -;MR DIAS DAS ALMAS J.P.;;7 PL DU MARCHE;;77;SEINE-ET-MARNE;77120 COULOMMIERS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2010-10-18;48.8143671;3.0840054;48.8143671,3.0840054
940016579;940016488;LBM AZAIS;;;;34 R JEAN JAURES;;94;VAL DE MARNE;94500 CHAMPIGNY SUR MARNE;01 47 06 06 99;01 47 06 07 96;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;32817529400037;;99;Indéterminé;2010-01-12;48.8151438;2.5057034;48.8151438,2.5057034
940020647;750050452;LBM SITE DU BOIS L'ABBE;;;;"21 CTRE COMMERCIAL ""BOIS L'ABBE""";;94;VAL DE MARNE;94500 CHAMPIGNY SUR MARNE;01 48 80 72 82;01 48 80 33 34;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-09-30;48.817049;2.515556;48.817049,2.515556
770018901;770003127;LBM BIO-VSM LAB TORCY;;;BATIMENT H;12 ALL EMILE REYNAUD;;77;SEINE-ET-MARNE;77200 TORCY;01 60 93 00 50;01 60 93 14 27;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-04-26;48.8330558;2.6595294;48.8330558,2.6595294
920028172;920027364;LBM GENERAL LECLERC SITE CLEMENT;LBM GENERAL LECLERC SITE CLEMENT;;;127 AV JB CLEMENT;;92;HAUTS-DE-SEINE;92100 BOULOGNE BILLANCOURT;01 48 25 72 06;01 49 09 13 52;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2013-01-01;48.842879;2.231331;48.842879,2.231331
940021231;940021215;LBM BIOMEGA;;;;135 AV GALLIENI;;94;VAL DE MARNE;94160 ST MANDE;01 43 65 66 38;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2012-08-23;48.8462042;2.4165603;48.8462042,2.4165603
750050601;750050536;LBM SELAS CBCV SITE  ASSAS;;;;36 R D'ASSAS;;75;PARIS;75006 PARIS;01 44 39 53 00;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-07-11;48.8476081;2.3295914;48.8476081,2.3295914
770018034;770018026;LBM DE BAILLY ROMAINVILLIERS;LABORATOIRE DE BIOLOGIE MEDICALE DE BAILLY ROMAINVILLIERS;MONSIEUR CULINO ALAIN;;29 R TAHURIAU;;77;SEINE-ET-MARNE;77700 BAILLY ROMAINVILLIERS;01 60 04 90 82;01 64 63 77 54;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;52072081400026;8690B;99;Indéterminé;2010-12-01;48.8516528;2.8228723;48.8516528,2.8228723
750050239;920027075;LBM BIO CLINIC SITE HENRI IV;LABORATOIRE DE BIOLOGIE MÉDICALE BIO CLINIC SITE HENRI IV;;;31 BD HENRI IV;;75;PARIS;75004 PARIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-01-04;48.852233;2.36548;48.852233,2.36548
940019029;940018898;LBM BIO PATH FONTENAY S/BOIS;LABORATOIRE BIOLOGIE MEDICALE BIO PATH SITE FONTENAY S/BOIS;;;11 AV DU VAL DE FONTENAY;;94;VAL DE MARNE;94120 FONTENAY SOUS BOIS;01 48 75 17 19;01 43 94 34 00;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;8690B;99;Indéterminé;2011-07-07;48.8540705;2.4884561;48.8540705,2.4884561
750051245;950030049;LBM SELARL LBC SITE PARIS BOURGOGNE;SELARL LABO. DE BIOLOGIE CLINIQUE SITE PARIS BOURGOGNE;;;35 R DE BOURGOGNE;;75;PARIS;75007 PARIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-03-15;48.8577405;2.3177192;48.8577405,2.3177192
750054173;750048423;SELAS BIOQUINZE SITE RUE DE LA POMPE;;;56-58 RUE DE LA POMPE;56 R DE LA POMPE;;75;PARIS;75016 PARIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2013-02-25;48.8622198;2.2761289;48.8622198,2.2761289
750048662;750048654;LBM EYLAU UNILABS SITE SAINT DIDIER;LABORATOIRE DE BIOLOGIE MEDICALE EYLAU SITE SAINT DIDIER;LABORATOIRE D'EYLAU;;55 R SAINT DIDIER;;75;PARIS;75016 PARIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2010-09-17;48.8673997;2.282546;48.8673997,2.282546
750050197;750050171;LBM SELAS SANTE BIO SITE GAMBETTA;;;;64 AV GAMBETTA;;75;PARIS;75020 PARIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-01-08;48.868472;2.4017348;48.868472,2.4017348
750050825;750050783;LBM LAURISTON;;;;49 R LAURISTON;;75;PARIS;75016 PARIS;01 47 27 45 54;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-12-28;48.8700973;2.2908616;48.8700973,2.2908616
770018349;770003127;LBM BIO-VSM LAB VAIRES SUR MARNE;LABORATOIRE DE BIOLOGIE MEDICALE BIO-VSM LAB VAIRES SUR MA;MONSIEUR WEBER PHILIPPE;;10 R DE LA GARE;;77;SEINE-ET-MARNE;77360 VAIRES SUR MARNE;01 64 72 47 57;01 64 72 47 58;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2010-01-10;48.874322;2.640221;48.874322,2.640221
930024492;930024815;LBM BIO-LAM ROSNY SOUS BOIS;;IMMEUBLE LE DOME;;13 MAIL DU CENTRE;;93;SEINE-SAINT-DENIS;93110 ROSNY SOUS BOIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-10-30;48.8751482;2.4830998;48.8751482,2.4830998
750051047;750048951;LBM PARC MONCEAU SITE ST LAZARE;SELARL LABO PARC MONCEAU;;;GARE SNCF PARIS ST LAZARE;;75;PARIS;75008 PARIS;01 45 51 05 25;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-03-21;48.875496;2.326671;48.875496,2.326671
750050700;750050684;LBM COSEM SITE ROME;;;;15 R DE ROME;;75;PARIS;75008 PARIS;01 45 22 30 87;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;39453594200012;;1;Etablissement Tarif Libre;2011-11-17;48.8757607;2.3238056;48.8757607,2.3238056
750050692;750050684;LBM COSEM SITE MIROMESNIL;;;;6 AV CESAR CAIRE;;75;PARIS;75008 PARIS;01 45 62 01 23;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;45306857900011;;1;Etablissement Tarif Libre;2011-11-17;48.8764121;2.3196522;48.8764121,2.3196522
920028339;920028313;SELARL BIOSMOSE SITE CLEMENCEAU;;;;3 AV GEORGES CLEMENCEAU;;92;HAUTS-DE-SEINE;92500 RUEIL MALMAISON;01 47 49 36 32;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2013-05-04;48.8790452;2.1800663;48.8790452,2.1800663
750048969;750048951;LBM PARC MONCEAU SITE CHAZELLES;LABORATOIRE DE BIO MEDICALE SELARL LABO PARC MONCEAU;LBM;20 RUE ALFRED DE VIGNY;12 R DE CHAZELLES;;75;PARIS;75017 PARIS;01 42 27 00 35;01 42 27 02 77;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2010-11-19;48.8800311;2.304737;48.8800311,2.304737
780021465;780003513;LBM DE CHAMBOURCY;;;;7 PL DE LA MAIRIE;;78;YVELINES;78240 CHAMBOURCY;01 30 74 60 79;01 30 65 30 32;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-11-07;48.8820475;2.0781154;48.8820475,2.0781154
930003587;930007919;LABM  SELURL ROSNYBIO;;M. BENBAKHTI M. BIO;;1 R DU DOCTEUR SCHWEITZER;;93;SEINE-SAINT-DENIS;93110 ROSNY SOUS BOIS;01 45 28 26 68;01 45 28 81 75;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;44925150300016;8690B;1;Etablissement Tarif Libre;1971-09-20;48.8822951;2.4898246;48.8822951,2.4898246
750053803;750053795;LBM KUATE SITE DELTA;;;;26 R DELTA;;75;PARIS;75009 PARIS;01 48 78 45 18;01 44 53 98 52;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2013-11-01;48.8824806;2.3467647;48.8824806,2.3467647
750050676;750048423;LBM SITE PRONY;;;;95 R DE PRONY;;75;PARIS;75017 PARIS;01 47 63 49 90;01 47 63 56 38;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2011-11-16;48.8841878;2.2997533;48.8841878,2.2997533
930023502;770018570;LBM SELARL BIOAL;LABORATOIRE DE BIOLOGIE MEDICALE SELARL BIOAL;;;8 R HENRI MALLARD;;93;SEINE-SAINT-DENIS;93220 GAGNY;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;8690B;1;Etablissement Tarif Libre;2010-03-11;48.8851866;2.5339807;48.8851866,2.5339807
750051997;750051971;LBM SELARL ASTRABIO SITE ARCHEREAU;;;;6 R ARCHEREAU;;75;PARIS;75019 PARIS;01 40 36 10 34;01 40 36 68 80;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;38129187100022;;1;Etablissement Tarif Libre;2012-09-24;48.8897431;2.3720084;48.8897431,2.3720084
770019347;940019599;LBM BIO EPINE SITE ESBLY;;;;4 R LÉO LAGRANGE;;77;SEINE-ET-MARNE;77450 ESBLY;01 60 04 44 09;01 60 04 42 30;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-03-30;48.9000586;2.8113653;48.9000586,2.8113653
930023197;930019591;LBM POLYCLINIQUE D'AUBERVILLIERS;;;;55 R HENRI BARBUSSE;;93;SEINE-SAINT-DENIS;93300 AUBERVILLIERS;;;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;;8690B;1;Etablissement Tarif Libre;1971-09-20;48.905421;2.3892196;48.905421,2.3892196
780021044;780021010;LBM MAIRIE;;;;4 PL DE LA MAIRIE;;78;YVELINES;78580 MAULE;01 30 90 96 64;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2010-12-31;48.9090337;1.8495154;48.9090337,1.8495154
780020780;950016089;LBM DE LA MARNE;LBM BIOFUTUR DE LA MARNE;;;2 R DE LA MARNE;;78;YVELINES;78800 HOUILLES;01 34 08 41 41;01 34 08 53 36;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;43886641000113;;1;Etablissement Tarif Libre;2011-09-21;48.9251381;2.1866653;48.9251381,2.1866653
930024310;930024302;LBM BIO93 UNILABS SITE LA COURNEUVE;LAB BIO MEDICALE SELARL BIO93 UNILABS SITE LA COURNEUVE;;72-76;72 R DE LA CONVENTION;;93;SEINE-SAINT-DENIS;93120 LA COURNEUVE;01 48 36 59 42;01 48 37 02 85;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2012-04-23;48.9272649;2.3923938;48.9272649,2.3923938
950032607;950032599;LBM SELARL BIOLAB DU DR LAURENT SFEDJ;;LBM DR LAURENT SFEDJ;;92 AV GABRIEL PERI;;95;VAL D'OISE;95870 BEZONS;01 39 80 42 63;01 39 80 67 99;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2012-12-18;48.9318019;2.2115955;48.9318019,2.2115955
780021671;780021663;LBM JC MARY;LBM JEAN CLAUDE MARY POISSY;;;18 R JEAN CLAUDE MARY;;78;YVELINES;78300 POISSY;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-12-19;48.9319183;2.0416225;48.9319183,2.0416225
930003702;930003694;LABM  PICARD-PAPER;;M. PICARD MME PAPER EP. WAINBLUM;;7 R DES CHAUMETTES;;93;SEINE-SAINT-DENIS;93200 ST DENIS;01 42 43 04 49;01 42 43 46 21;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;38412016800024;8690B;1;Etablissement Tarif Libre;1995-03-26;48.937622;2.3524085;48.937622,2.3524085
930023866;940018898;LBM BIO PATH SAINT DENIS;LABORATOIRE DE BIOLOGIE MEDICALE BIO PATH SITE SAINT DENIS;;;6 ALL VERTE;;93;SEINE-SAINT-DENIS;93200 ST DENIS;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;8690B;99;Indéterminé;2011-10-10;48.940118;2.355996;48.940118,2.355996
780020848;950016089;LBM ACHÈRES;;;;7 R D' ACHÈRES;;78;YVELINES;78600 MAISONS LAFFITTE;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;43886641000097;;1;Etablissement Tarif Libre;2011-09-21;48.947545;2.1423899;48.947545,2.1423899
950026765;950026385;LBM SELAS AMBO SITE VICTIMES DU V2;;ANA. MED. DES BOUCLES DE L'OISE;;PL DES VICTIMES DU V2;;95;VAL D'OISE;95170 DEUIL LA BARRE;01 39 83 16 02;01 39 83 16 02;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-03-16;48.975751;2.3272339;48.975751,2.3272339
950003962;940003494;LABM IRABS-NIZARD;;;;8 AV AUGUSTE PERRET;;95;VAL D'OISE;95200 SARCELLES;01 39 93 31 01;01 39 93 52 13;610;Laboratoire d'Analyses;3101;Laboratoires de Biologie Médicale;44348917400054;8690B;99;Indéterminé;1972-01-01;48.9766898;2.3772898;48.9766898,2.3772898
950031245;920026564;LBM BIO PARIS OUEST SITE MONTMORENCY;LABORATOIRE BIO MÉDICALE SELARL SEL BIO PARIS OUEST;SEL BIO PARIS NORD;;9 AV FOCH;;95;VAL D'OISE;95160 MONTMORENCY;01 39 64 72 85;01 34 12 06 17;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-05-06;48.989394;2.3194212;48.989394,2.3194212
780021291;780021200;LBM CONFLANS;LBM BIO LAB DE CONFLANS;;;15 PL AUGUSTE ROMAGNE;;78;YVELINES;78700 CONFLANS STE HONORINE;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-04-19;48.9981861;2.0977847;48.9981861,2.0977847
950026591;950026385;LBM SELAS AMBO SITE VAUREAL;LBM SELAS AMBO ANALYSES MÉDICALES DES BOUCLES DE L'OISE;ANAL. MED. DES BOUCLES DE L'OISE;;PL DE LA BUSSIE;;95;VAL D'OISE;95490 VAUREAL;01 34 30 95 49;01 34 30 95 48;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-03-16;49.0327568;2.0190034;49.0327568,2.0190034
950032565;950032540;LBM SELAS BAUD-MARION SITE CERGY;;LBM DE LA CONSTELLATION;;19 AV DE LA CONSTELLATION;;95;VAL D'OISE;95000 CERGY;01 30 31 97 70;01 30 30 02 83;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2012-11-23;49.0511334;2.0318313;49.0511334,2.0318313
950032524;270027212;LBM SELAS CBSV SITE MARINES;;LBM BUREAU;;6 R DU GENERAL DE GAULLE;;95;VAL D'OISE;95640 MARINES;01 30 39 71 02;01 34 67 54 22;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;1;Etablissement Tarif Libre;2012-06-12;49.1440661;1.9796298;49.1440661,1.9796298
910019751;910020080;LBM MEDI 7 ETRECHY;LABORATOIRE DE BIOLOGIE MEDICALE MEDI 7  ETRECHY;SITE PRÉ ET POST ANALYTIQUE;;51  GRANDE RUE;;91;ESSONNE;91580 ETRECHY;01 69 92 24 78;01 69 92 24 94;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;41994942500195;8690B;1;Etablissement Tarif Libre;2011-12-29;48.4920548;2.1908596;48.4920548,2.1908596
910020643;910020619;LBM GSY DOURDAN;LABORATOIRE DE BIOLOGIE MEDICALE;;;8 R D' ETAMPES;;91;ESSONNE;91410 DOURDAN;01 64 59 52 24;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;40085421200034;;1;Etablissement Tarif Libre;2012-05-11;48.529171;2.0152549;48.529171,2.0152549
770019149;770003127;LBM BIO-VSM LAB SAVIGNY LE TEMPLE;;;;3 R DES MANOUVRIERS;;77;SEINE-ET-MARNE;77176 SAVIGNY LE TEMPLE;01 60 63 56 86;01 60 63 32 68;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-07-11;48.6028594;2.558768;48.6028594,2.558768
910020213;780021200;LBM BIO LAB;LABORATOIRE DE BIOLOGIE MEDICALE;;;2 AV NOWY TARG;;91;ESSONNE;91000 EVRY;01 60 77 36 02;01 60 79 15 12;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;;99;Indéterminé;2011-10-20;48.6337689;2.4432289;48.6337689,2.4432289
